http://w4.gakkai-web.net/jps_search/2018au/data/search/index.html,2018-09-09,2018-09-12
https://w4.gakkai-web.net/jps_search/2019sp/data/search/index.html,2019-03-14,2019-03-17
https://w4.gakkai-web.net/jps_search/2019au/data/search/index.html,2019-09-10,2019-09-13
https://w4.gakkai-web.net/jps_search/2020sp/data/search/index.html,2020-03-16,2020-03-19
https://w4.gakkai-web.net/jps_search/2020au/data/search/index.html,2020-09-08,2020-09-11
https://w4.gakkai-web.net/jps_search/2021sp/data/search/index.html,2021-03-12,2021-03-15
https://w4.gakkai-web.net/jps_search/2021au/data/search/index.html,2021-09-20,2021-09-23
https://onsite.gakkai-web.net/jps/jps_search/2022sp/data2/search/index.html,2022-03-15,2022-03-19
https://onsite.gakkai-web.net/jps/jps_search/2022au/data2/search/index.html,2022-09-12,2022-09-15
https://onsite.gakkai-web.net/jps/jps_search/2023sp/data2/search/index.html,2023-03-22,2023-03-25
https://onsite.gakkai-web.net/jps/jps_search/2023au/data2/search/index.html,2023-09-16,2023-09-19
https://onsite.gakkai-web.net/jps/jps_search/2024sp/data2/search/index.html,2024-03-18,2024-03-21
https://onsite.gakkai-web.net/jps/jps_search/2024au/data2/search/index.html,2024-09-16,2024-09-19
