http://w4.gakkai-web.net/jps_search/2018au/data/search/index.html,2018-09-14,2018-09-17
https://w4.gakkai-web.net/jps_search/2019sp/data/search/index.html,2019-03-14,2019-03-17
https://w4.gakkai-web.net/jps_search/2019au/data/search/index.html,2019-09-17,2019-09-20
https://w4.gakkai-web.net/jps_search/2020sp/data/search/index.html,2020-03-16,2020-03-19
https://w4.gakkai-web.net/jps_search/2020au/data/search/index.html,2020-09-14,2020-09-17
https://w4.gakkai-web.net/jps_search/2021sp/data/search/index.html,2021-03-12,2021-03-15
https://w4.gakkai-web.net/jps_search/2021au/data/search/index.html,2021-09-14,2021-09-17
https://onsite.gakkai-web.net/jps/jps_search/2022sp/data2/search/index.html,2022-03-15,2022-03-19
https://onsite.gakkai-web.net/jps/jps_search/2022au/data2/search/index.html,2022-09-06,2022-09-08
https://onsite.gakkai-web.net/jps/jps_search/2023sp/data2/search/index.html,2023-03-22,2023-03-25
